LAT,LONG,cant_CP
25.63518794,-100.1519916,64
25.56276817,-100.1310325,3
25.42426115,-100.1467856,501
25.49256922,-100.1871937,13
25.3753441,-100.1102431,3
25.35872302,-100.163192,6
25.42596798,-100.1508014,12
25.46134825,-100.1699198,8
25.44228188,-100.1567823,15
25.4323651,-100.1558948,1
25.39856185,-100.1323321,14
25.42139976,-100.1443527,21
25.38860037,-100.1308528,21
25.35791124,-100.0953483,7
25.3489835,-100.0871418,3
25.36857528,-100.1038043,5
25.38020463,-100.1128697,15
25.37895047,-100.182706,3
25.2841477,-100.0171223,974
25.29435438,-99.97562768,13
25.3491031,-99.9899498,1
25.3227743,-100.0294574,1
25.3463725,-100.0263119,1
25.3169676,-100.0483716,4
25.2823293,-100.0459841,2
25.25420687,-99.67572224,32
25.3135566,-99.7422659,1
25.2592919,-99.7334079,1
25.1683138,-99.3177603,1
25.58586834,-100.0045205,1068
25.54187573,-99.84111363,4
25.56894673,-100.0426842,4
25.35876329,-99.98623909,13
25.4632078,-99.9976832,2
25.44874466,-99.99474699,8
25.5790731,-99.883891,1
25.56322554,-99.99667708,283
25.5987306,-99.97867005,278
25.57664881,-99.98781983,67
25.57459899,-100.0157567,272
25.60263803,-100.0315093,4
25.19173617,-99.87868055,117
25.19249766,-99.83415139,74
25.19665765,-99.83761731,17
25.20004975,-99.84611722,26
25.1929476,-99.82182904,29
25.18705845,-99.83168333,12
25.1696247,-99.8385924,2
25.1870473,-99.8222294,6
25.18873627,-99.80718548,11
25.18837879,-99.81592243,7
25.18385434,-99.85182466,5
25.18613675,-99.83798538,24
25.18570433,-99.81434687,3
25.19311586,-99.88969163,31
25.15960391,-99.82130044,7
25.17904554,-99.81493449,11
25.36210797,-99.9331961,3
25.22467086,-99.93509562,20
25.50928908,-100.180587,14
25.19045567,-99.87431463,3
25.2520924,-100.0266166,1
25.1742354,-99.840652,1
25.0093602,-100.0695781,1
24.85825477,-99.58022738,176
24.86716413,-99.56719001,38
24.87105952,-99.57482101,15
24.872415,-99.5745281,1
24.86729563,-99.56167887,10
24.87267327,-99.5565656,3
24.88400689,-99.55298533,7
24.8603546,-99.55841593,4
24.87709798,-99.5820531,4
24.88036635,-99.58346445,4
24.85672398,-99.56177254,14
24.8510826,-99.5387721,1
24.8635573,-99.54567215,2
24.86075616,-99.55100948,13
24.8601148,-99.57705684,8
24.86612403,-99.57275321,11
24.8415478,-99.5749449,2
24.84926268,-99.57326823,4
24.8504424,-99.57096286,5
24.85125323,-99.56018678,8
24.84952577,-99.55681034,18
24.6686054,-99.6711261,1
25.1036175,-99.3508395,1
24.8970459,-99.4690526,1
24.73049065,-99.91405315,11
24.86444162,-100.4151972,235
25.46949545,-100.2839382,26
25.07712445,-100.6156594,2
24.9619699,-100.7151635,2
24.9537452,-100.4626534,1
25.02794009,-100.5518982,18
24.3791889,-100.2119668,1
24.8958291,-99.6723339,2
25.42323735,-100.0956427,125
24.8939333,-99.68156665,2
23.95579131,-100.3453446,74
24.09596767,-99.8150505,3
24.0924268,-100.3821304,2
24.13940368,-99.8612942,14
24.3237223,-99.9138705,1
23.9732537,-99.7722289,1
